time_ps,voltage
33.4,0.532459
33.5,0.534328
33.6,0.536177
33.7,0.538006
33.8,0.539815
33.9,0.541605
34,0.543374
34.1,0.545124
34.2,0.546855
34.3,0.548567
34.4,0.550261
34.5,0.551935
34.6,0.553591
34.7,0.555229
34.8,0.556849
34.9,0.558451
35,0.560036
35.1,0.561602
35.2,0.563152
35.3,0.564684
35.4,0.5662
35.5,0.567698
35.6,0.569181
35.7,0.570646
35.8,0.572096
35.9,0.573529
36,0.574946
36.1,0.576348
36.2,0.577734
36.3,0.579105
36.4,0.580461
36.5,0.581801
36.6,0.583127
36.7,0.584437
36.8,0.585734
36.9,0.587015
37,0.588283
37.1,0.589536
37.2,0.590776
37.3,0.592001
37.4,0.593213
37.5,0.594412
37.6,0.595597
37.7,0.596768
37.8,0.597927
37.9,0.599073
38,0.600206
38.1,0.601326
38.2,0.602434
38.3,0.60353
38.4,0.604613
38.5,0.605684
38.6,0.606743
38.7,0.60779
38.8,0.608826
38.9,0.60985
39,0.610863
39.1,0.611864
39.2,0.612854
39.3,0.613833
39.4,0.614801
39.5,0.615758
39.6,0.616704
39.7,0.61764
39.8,0.618565
39.9,0.61948
2.32645e-13,0.620385
0.1,0.621279
0.2,0.622164
0.3,0.623039
0.4,0.623903
0.5,0.624759
0.6,0.625604
0.7,0.62644
0.8,0.627267
0.9,0.628084
1,0.628892
1.1,0.629692
1.2,0.630482
1.3,0.631263
1.4,0.632036
1.5,0.6328
1.6,0.633555
1.7,0.634302
1.8,0.63504
1.9,0.63577
2,0.636492
2.1,0.637206
2.2,0.637912
2.3,0.63861
2.4,0.6393
2.5,0.639982
2.6,0.640657
2.7,0.641324
2.8,0.641984
2.9,0.642636
3,0.643281
3.1,0.643919
3.2,0.644549
3.3,0.645173
3.4,0.645789
3.5,0.646398
3.6,0.647001
3.7,0.647597
3.8,0.648186
3.9,0.648769
4,0.649345
4.1,0.649914
4.2,0.650477
4.3,0.651034
4.4,0.651585
4.5,0.652129
4.6,0.652667
4.7,0.653199
4.8,0.653726
4.9,0.654246
5,0.65476
5.1,0.655269
5.2,0.655772
5.3,0.656269
5.4,0.656761
5.5,0.657247
5.6,0.657728
5.7,0.658203
5.8,0.658673
5.9,0.659138
6,0.659598
6.1,0.660052
6.2,0.660501
6.3,0.660945
6.4,0.661384
6.5,0.661819
6.6,0.662248
6.7,0.662672
6.8,0.663092
6.9,0.663507
7,0.663918
7.1,0.664323
7.2,0.664725
7.3,0.665121
7.4,0.665513
7.5,0.665901
7.6,0.666285
7.7,0.666664
7.8,0.667039
7.9,0.667409
8,0.667776
8.1,0.668138
8.2,0.668496
8.3,0.668851
8.4,0.669201
8.5,0.669547
8.6,0.66989
8.7,0.670228
8.8,0.670563
8.9,0.670894
9,0.671222
9.1,0.671545
9.2,0.671865
9.3,0.672182
9.4,0.672494
9.5,0.672804
9.6,0.67311
9.7,0.673412
9.8,0.673711
9.9,0.674007
10,0.674299
10.1,0.674588
10.2,0.674874
10.3,0.675156
10.4,0.675436
10.5,0.675712
10.6,0.675985
10.7,0.676255
10.8,0.676522
10.9,0.676786
11,0.677047
11.1,0.677305
11.2,0.677561
11.3,0.677813
11.4,0.678062
11.5,0.678309
11.6,0.678553
11.7,0.678794
11.8,0.679033
11.9,0.679268
12,0.679502
12.1,0.679732
12.2,0.67996
12.3,0.680185
12.4,0.680408
12.5,0.680629
12.6,0.680846
12.7,0.681062
12.8,0.681275
12.9,0.681485
13,0.681694
13.1,0.681899
13.2,0.682103
13.3,0.682304
13.4,0.682503
13.5,0.6827
13.6,0.682895
13.7,0.683087
13.8,0.683277
13.9,0.683465
14,0.683651
14.1,0.683835
14.2,0.684017
14.3,0.684197
14.4,0.684374
14.5,0.68455
14.6,0.684724
14.7,0.684896
14.8,0.685065
14.9,0.685233
15,0.685399
15.1,0.685564
15.2,0.685726
15.3,0.685887
15.4,0.686045
15.5,0.686202
15.6,0.686357
15.7,0.686511
15.8,0.686662
15.9,0.686812
16,0.686961
16.1,0.687107
16.2,0.687252
16.3,0.687396
16.4,0.687538
16.5,0.687678
16.6,0.687816
16.7,0.687953
16.8,0.688089
16.9,0.688223
17,0.688355
17.1,0.688486
17.2,0.688616
17.3,0.688744
17.4,0.68887
17.5,0.688995
17.6,0.689119
17.7,0.689242
17.8,0.689362
17.9,0.689482
18,0.6896
18.1,0.689717
18.2,0.689833
18.3,0.689947
18.4,0.69006
18.5,0.690172
18.6,0.690283
18.7,0.690392
18.8,0.6905
18.9,0.690607
19,0.690713
19.1,0.690478
19.2,0.689922
19.3,0.689062
19.4,0.687914
19.5,0.686496
19.6,0.684821
19.7,0.682905
19.8,0.680761
19.9,0.678404
20,0.675844
20.1,0.673095
20.2,0.670169
20.3,0.667075
20.4,0.663825
20.5,0.660428
20.6,0.656895
20.7,0.653233
20.8,0.649453
20.9,0.645561
21,0.641566
21.1,0.637476
21.2,0.633297
21.3,0.629036
21.4,0.624701
21.5,0.620296
21.6,0.615827
21.7,0.611301
21.8,0.606723
21.9,0.602097
22,0.597429
22.1,0.592723
22.2,0.587983
22.3,0.583213
22.4,0.578418
22.5,0.573601
22.6,0.568765
22.7,0.563914
22.8,0.559051
22.9,0.55418
23,0.549302
23.1,0.54442
23.2,0.539538
23.3,0.534657
23.4,0.52978
23.5,0.524909
23.6,0.520046
23.7,0.515193
23.8,0.510352
23.9,0.505524
24,0.500711
24.1,0.495915
24.2,0.491136
24.3,0.486378
24.4,0.481639
24.5,0.476923
24.6,0.472229
24.7,0.467559
24.8,0.462915
24.9,0.458296
25,0.453704
25.1,0.449139
25.2,0.444602
25.3,0.440095
25.4,0.435616
25.5,0.431168
25.6,0.426751
25.7,0.422364
25.8,0.418009
25.9,0.413687
26,0.409396
26.1,0.405138
26.2,0.400913
26.3,0.396722
26.4,0.392564
26.5,0.388439
26.6,0.384349
26.7,0.380292
26.8,0.37627
26.9,0.372282
27,0.368328
27.1,0.364409
27.2,0.360524
27.3,0.356674
27.4,0.352858
27.5,0.349077
27.6,0.34533
27.7,0.341618
27.8,0.33794
27.9,0.334296
28,0.330687
28.1,0.327111
28.2,0.32357
28.3,0.320063
28.4,0.316589
28.5,0.313149
28.6,0.309743
